?human	?humanLabel	?representedParty	?representedPartyLabel	?representedGroup	?representedGroupLabel	?electedInDistrict	?electedInDistrictLabel	?startDate	?endDate	?parliamentaryTerm	?parliamentaryTermLabel
<http://www.wikidata.org/entity/Q62420>	"Klaus Hänsch"@en							"1979-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		
<http://www.wikidata.org/entity/Q62420>	"Klaus Hänsch"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q62420>	"Klaus Hänsch"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1994-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315706>	"Fourth European Parliament"@en
<http://www.wikidata.org/entity/Q71670>	"Frithjof Schmidt"@en	<http://www.wikidata.org/entity/Q49766>	"Alliance '90/The Greens"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q71671>	"Gisela Kallenbach"@en	<http://www.wikidata.org/entity/Q49766>	"Alliance '90/The Greens"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q76265>	"Franziska Brantner"@en	<http://www.wikidata.org/entity/Q49766>	"Alliance '90/The Greens"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2013-10-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q76837>	"Daniel Cohn-Bendit"@en	<http://www.wikidata.org/entity/Q49766>	"Alliance '90/The Greens"@en	<http://www.wikidata.org/entity/Q3777459>	"The Green Group in the European Parliament"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1994-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315706>	"Fourth European Parliament"@en
<http://www.wikidata.org/entity/Q76837>	"Daniel Cohn-Bendit"@en	<http://www.wikidata.org/entity/Q743390>	"The Greens"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q5478259>	"France"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q76837>	"Daniel Cohn-Bendit"@en	<http://www.wikidata.org/entity/Q613786>	"Europe Ecology – The Greens"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q556691>	"Île-de-France"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q76837>	"Daniel Cohn-Bendit"@en	<http://www.wikidata.org/entity/Q49766>	"Alliance '90/The Greens"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q78198>	"Alexander Radwan"@en	<http://www.wikidata.org/entity/Q49763>	"Christian Social Union of Bavaria"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2008-12-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q78198>	"Alexander Radwan"@en	<http://www.wikidata.org/entity/Q49763>	"Christian Social Union of Bavaria"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q78210>	"Christa Klaß"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q78210>	"Christa Klaß"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q78210>	"Christa Klaß"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q78210>	"Christa Klaß"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1994-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315706>	"Fourth European Parliament"@en
<http://www.wikidata.org/entity/Q79073>	"Eva Lichtenberger"@en	<http://www.wikidata.org/entity/Q193178>	"Die Grünen"@en	<http://www.wikidata.org/entity/Q751935>	"The Greens–European Free Alliance"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
