meeting identifier	false_negatives_count	false_positives_count	true_positives_count	precision	recall	F1
20140714	9	0	6	1.0	0.4	0.5714285714285715
20140723	1	1	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
20140904	4	2	11	0.8461538461538461	0.7333333333333333	0.7857142857142856
20140915	1	2	6	0.75	0.8571428571428571	0.7999999999999999
20140925	4	5	8	0.6153846153846154	0.6666666666666666	0.64
20141016	2	3	3	0.5	0.6	0.5454545454545454
20141106	3	1	11	0.9166666666666666	0.7857142857142857	0.8461538461538461
20141120	9	3	9	0.75	0.5	0.6
20141211	0	0	6	1.0	1.0	1.0
