meeting identifier	false_negatives_count	false_positives_count	true_positives_count	precision	recall	F1
20140714	6	10	9	0.47368421052631576	0.6	0.5294117647058824
20140904	5	28	10	0.2631578947368421	0.6666666666666666	0.3773584905660377
20140915	0	36	7	0.16279069767441862	1.0	0.28
20140925	4	46	8	0.14814814814814814	0.6666666666666666	0.24242424242424243
20141016	2	28	3	0.0967741935483871	0.6	0.16666666666666666
20141106	2	37	12	0.24489795918367346	0.8571428571428571	0.38095238095238093
20141110	3	27	1	0.03571428571428571	0.25	0.0625
20141120	6	26	12	0.3157894736842105	0.6666666666666666	0.42857142857142855
20141211	0	2	6	0.75	1.0	0.8571428571428571
