meeting identifier	false_negatives_count	false_positives_count	true_positives_count	precision	recall	F1
20140723	1	4	2	0.3333333333333333	0.6666666666666666	0.4444444444444444
20140904	4	17	11	0.39285714285714285	0.7333333333333333	0.5116279069767441
20140915	0	13	7	0.35	1.0	0.5185185185185185
20140925	4	27	8	0.22857142857142856	0.6666666666666666	0.3404255319148936
20141016	2	10	3	0.23076923076923078	0.6	0.33333333333333337
20141106	3	13	11	0.4583333333333333	0.7857142857142857	0.5789473684210527
20141110	3	11	1	0.08333333333333333	0.25	0.125
20141120	7	11	11	0.5	0.6111111111111112	0.55
20141211	0	1	6	0.8571428571428571	1.0	0.923076923076923
