meeting identifier	false_negatives_count	false_positives_count	true_positives_count	precision	recall	F1
20140714	9	1	6	0.8571428571428571	0.4	0.5454545454545455
20140723	1	1	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
20140904	4	4	11	0.7333333333333333	0.7333333333333333	0.7333333333333333
20140915	1	3	6	0.6666666666666666	0.8571428571428571	0.75
20140925	4	6	8	0.5714285714285714	0.6666666666666666	0.6153846153846153
20141016	2	3	3	0.5	0.6	0.5454545454545454
20141106	3	2	11	0.8461538461538461	0.7857142857142857	0.8148148148148148
20141120	9	4	9	0.6923076923076923	0.5	0.5806451612903226
20141211	0	0	6	1.0	1.0	1.0
